S1	S2	S1Spkr	S2Spkr	S1Db	S2Db
7	0	10	1	15	0
19	0	7	1	5	0
11	0	10	1	35	0
25	1	10	1	5	0
14	0	10	1	5	0
38	0	10	1	35	0
17	0	10	1	5	0
19	0	6	1	5	0
20	1	10	1	5	0
9	0	10	1	15	0
19	0	4	1	5	0
6	0	10	1	35	0
24	1	10	1	5	0
4	0	10	1	15	0
19	0	3	1	5	0
9	0	10	1	-5	0
4	0	10	1	-5	0
33	0	10	1	-5	0
6	0	10	1	15	0
18	0	10	1	5	0
36	0	10	1	35	0
32	0	10	1	-5	0
39	0	10	1	15	0
34	0	10	1	35	0
10	0	10	1	-5	0
19	0	14	1	5	0
37	0	10	1	15	0
31	0	10	1	35	0
10	0	10	1	15	0
31	0	10	1	-5	0
21	1	10	1	5	0
7	0	10	1	15	0
32	0	10	1	-5	0
19	0	15	1	5	0
11	0	10	1	15	0
19	0	13	1	5	0
21	1	10	1	5	0
19	0	7	1	5	0
36	0	10	1	35	0
15	0	10	1	5	0
27	1	10	1	5	0
19	0	12	1	5	0
8	0	10	1	-5	0
38	0	10	1	15	0
4	0	10	1	15	0
13	0	10	1	5	0
19	0	6	1	5	0
32	0	10	1	35	0
26	1	10	1	5	0
5	0	10	1	35	0
17	0	10	1	5	0
9	0	10	1	-5	0
25	1	10	1	5	0
14	0	10	1	5	0
31	0	10	1	15	0
7	0	10	1	-5	0
19	0	3	1	5	0
4	0	10	1	35	0
10	0	10	1	-5	0
19	0	9	1	5	0
18	0	10	1	5	0
23	1	10	1	5	0
33	0	10	1	-5	0
31	0	10	1	35	0
19	0	2	1	5	0
37	0	10	1	15	0
19	0	10	1	5	0
20	1	10	1	5	0
36	0	10	1	-5	0
4	0	10	1	-5	0
24	1	10	1	5	0
10	0	10	1	35	0
19	0	11	1	5	0
35	0	10	1	15	0
19	0	8	1	5	0
9	0	10	1	35	0
16	0	10	1	5	0
11	0	10	1	35	0
12	0	10	1	5	0
19	0	16	1	5	0
10	0	10	1	15	0
19	0	14	1	5	0
35	0	10	1	-5	0
5	0	10	1	15	0
38	0	10	1	35	0
19	0	1	1	5	0
31	0	10	1	-5	0
33	0	10	1	35	0
5	0	10	1	-5	0
37	0	10	1	35	0
8	0	10	1	15	0
6	0	10	1	15	0
39	0	10	1	35	0
8	0	10	1	35	0
19	0	5	1	5	0
34	0	10	1	35	0
6	0	10	1	-5	0
34	0	10	1	-5	0
39	0	10	1	15	0
33	0	10	1	15	0
6	0	10	1	35	0
34	0	10	1	15	0
22	1	10	1	5	0
35	0	10	1	35	0
19	0	4	1	5	0
9	0	10	1	15	0
7	0	10	1	35	0
36	0	10	1	15	0
32	0	10	1	15	0
24	1	10	1	5	0
17	0	10	1	5	0
31	0	10	1	-5	0
35	0	10	1	15	0
37	0	10	1	35	0
19	0	3	1	5	0
37	0	10	1	15	0
15	0	10	1	5	0
31	0	10	1	15	0
8	0	10	1	15	0
31	0	10	1	35	0
34	0	10	1	35	0
19	0	14	1	5	0
8	0	10	1	-5	0
12	0	10	1	5	0
23	1	10	1	5	0
39	0	10	1	35	0
19	0	5	1	5	0
13	0	10	1	5	0
5	0	10	1	15	0
39	0	10	1	15	0
18	0	10	1	5	0
10	0	10	1	15	0
19	0	8	1	5	0
36	0	10	1	35	0
7	0	10	1	-5	0
19	0	6	1	5	0
38	0	10	1	15	0
19	0	16	1	5	0
16	0	10	1	5	0
10	0	10	1	35	0
19	0	1	1	5	0
11	0	10	1	15	0
35	0	10	1	-5	0
19	0	12	1	5	0
36	0	10	1	15	0
32	0	10	1	15	0
36	0	10	1	-5	0
6	0	10	1	15	0
35	0	10	1	35	0
19	0	13	1	5	0
4	0	10	1	-5	0
19	0	4	1	5	0
9	0	10	1	15	0
7	0	10	1	35	0
25	1	10	1	5	0
9	0	10	1	35	0
20	1	10	1	5	0
8	0	10	1	35	0
6	0	10	1	35	0
22	1	10	1	5	0
33	0	10	1	-5	0
19	0	2	1	5	0
34	0	10	1	-5	0
32	0	10	1	35	0
19	0	10	1	5	0
11	0	10	1	35	0
32	0	10	1	-5	0
19	0	15	1	5	0
34	0	10	1	15	0
6	0	10	1	-5	0
27	1	10	1	5	0
4	0	10	1	35	0
33	0	10	1	15	0
4	0	10	1	15	0
38	0	10	1	35	0
7	0	10	1	15	0
19	0	11	1	5	0
33	0	10	1	35	0
10	0	10	1	-5	0
26	1	10	1	5	0
19	0	7	1	5	0
21	1	10	1	5	0
14	0	10	1	5	0
5	0	10	1	-5	0
19	0	9	1	5	0
9	0	10	1	-5	0
5	0	10	1	35	0
11	0	10	1	35	0
26	1	10	1	5	0
19	0	14	1	5	0
8	0	10	1	-5	0
19	0	3	1	5	0
34	0	10	1	-5	0
32	0	10	1	-5	0
24	1	10	1	5	0
36	0	10	1	35	0
34	0	10	1	35	0
6	0	10	1	15	0
10	0	10	1	35	0
4	0	10	1	15	0
33	0	10	1	35	0
19	0	15	1	5	0
4	0	10	1	-5	0
37	0	10	1	35	0
27	1	10	1	5	0
35	0	10	1	15	0
18	0	10	1	5	0
19	0	9	1	5	0
6	0	10	1	35	0
19	0	11	1	5	0
35	0	10	1	35	0
31	0	10	1	15	0
10	0	10	1	15	0
32	0	10	1	15	0
37	0	10	1	15	0
19	0	16	1	5	0
20	1	10	1	5	0
19	0	6	1	5	0
14	0	10	1	5	0
32	0	10	1	35	0
19	0	2	1	5	0
7	0	10	1	15	0
13	0	10	1	5	0
21	1	10	1	5	0
5	0	10	1	-5	0
23	1	10	1	5	0
11	0	10	1	15	0
33	0	10	1	15	0
38	0	10	1	15	0
7	0	10	1	-5	0
19	0	1	1	5	0
12	0	10	1	5	0
5	0	10	1	35	0
35	0	10	1	-5	0
31	0	10	1	35	0
19	0	10	1	5	0
36	0	10	1	15	0
31	0	10	1	-5	0
39	0	10	1	15	0
7	0	10	1	35	0
9	0	10	1	35	0
19	0	8	1	5	0
5	0	10	1	15	0
9	0	10	1	15	0
34	0	10	1	15	0
19	0	4	1	5	0
38	0	10	1	35	0
8	0	10	1	15	0
19	0	7	1	5	0
10	0	10	1	-5	0
19	0	5	1	5	0
25	1	10	1	5	0
19	0	13	1	5	0
22	1	10	1	5	0
15	0	10	1	5	0
19	0	12	1	5	0
17	0	10	1	5	0
39	0	10	1	35	0
16	0	10	1	5	0
9	0	10	1	-5	0
33	0	10	1	-5	0
6	0	10	1	-5	0
8	0	10	1	35	0
36	0	10	1	-5	0
4	0	10	1	35	0
13	0	10	1	5	0
19	0	4	1	5	0
33	0	10	1	-5	0
20	1	10	1	5	0
9	0	10	1	35	0
35	0	10	1	35	0
18	0	10	1	5	0
32	0	10	1	15	0
8	0	10	1	35	0
31	0	10	1	-5	0
19	0	7	1	5	0
34	0	10	1	35	0
6	0	10	1	-5	0
19	0	11	1	5	0
14	0	10	1	5	0
24	1	10	1	5	0
38	0	10	1	15	0
5	0	10	1	35	0
37	0	10	1	35	0
32	0	10	1	35	0
19	0	16	1	5	0
36	0	10	1	15	0
19	0	6	1	5	0
10	0	10	1	35	0
4	0	10	1	-5	0
10	0	10	1	-5	0
19	0	10	1	5	0
36	0	10	1	-5	0
19	0	2	1	5	0
27	1	10	1	5	0
5	0	10	1	-5	0
8	0	10	1	15	0
9	0	10	1	15	0
35	0	10	1	15	0
39	0	10	1	35	0
19	0	15	1	5	0
11	0	10	1	35	0
17	0	10	1	5	0
25	1	10	1	5	0
19	0	14	1	5	0
21	1	10	1	5	0
6	0	10	1	15	0
35	0	10	1	-5	0
6	0	10	1	35	0
16	0	10	1	5	0
10	0	10	1	15	0
7	0	10	1	35	0
19	0	3	1	5	0
37	0	10	1	15	0
33	0	10	1	15	0
19	0	13	1	5	0
9	0	10	1	-5	0
22	1	10	1	5	0
8	0	10	1	-5	0
38	0	10	1	35	0
23	1	10	1	5	0
7	0	10	1	-5	0
36	0	10	1	35	0
19	0	8	1	5	0
4	0	10	1	15	0
19	0	9	1	5	0
32	0	10	1	-5	0
39	0	10	1	15	0
34	0	10	1	15	0
4	0	10	1	35	0
26	1	10	1	5	0
19	0	1	1	5	0
11	0	10	1	15	0
19	0	5	1	5	0
31	0	10	1	35	0
15	0	10	1	5	0
34	0	10	1	-5	0
12	0	10	1	5	0
19	0	12	1	5	0
31	0	10	1	15	0
7	0	10	1	15	0
5	0	10	1	15	0
33	0	10	1	35	0
38	0	10	1	35	0
5	0	10	1	-5	0
19	0	2	1	5	0
38	0	10	1	15	0
19	0	11	1	5	0
33	0	10	1	-5	0
11	0	10	1	15	0
4	0	10	1	15	0
19	0	9	1	5	0
4	0	10	1	-5	0
35	0	10	1	-5	0
10	0	10	1	-5	0
22	1	10	1	5	0
8	0	10	1	15	0
10	0	10	1	15	0
32	0	10	1	-5	0
7	0	10	1	35	0
31	0	10	1	-5	0
33	0	10	1	15	0
39	0	10	1	15	0
33	0	10	1	35	0
19	0	3	1	5	0
9	0	10	1	15	0
20	1	10	1	5	0
19	0	15	1	5	0
7	0	10	1	-5	0
5	0	10	1	15	0
10	0	10	1	35	0
6	0	10	1	15	0
8	0	10	1	-5	0
19	0	13	1	5	0
9	0	10	1	-5	0
34	0	10	1	15	0
26	1	10	1	5	0
37	0	10	1	35	0
21	1	10	1	5	0
19	0	16	1	5	0
35	0	10	1	15	0
36	0	10	1	35	0
14	0	10	1	5	0
19	0	1	1	5	0
15	0	10	1	5	0
19	0	10	1	5	0
36	0	10	1	15	0
19	0	8	1	5	0
36	0	10	1	-5	0
24	1	10	1	5	0
4	0	10	1	35	0
7	0	10	1	15	0
13	0	10	1	5	0
19	0	6	1	5	0
6	0	10	1	35	0
39	0	10	1	35	0
16	0	10	1	5	0
6	0	10	1	-5	0
17	0	10	1	5	0
27	1	10	1	5	0
31	0	10	1	15	0
19	0	14	1	5	0
18	0	10	1	5	0
32	0	10	1	35	0
34	0	10	1	35	0
31	0	10	1	35	0
19	0	7	1	5	0
23	1	10	1	5	0
37	0	10	1	15	0
19	0	4	1	5	0
9	0	10	1	35	0
12	0	10	1	5	0
11	0	10	1	35	0
19	0	12	1	5	0
5	0	10	1	35	0
34	0	10	1	-5	0
19	0	5	1	5	0
25	1	10	1	5	0
8	0	10	1	35	0
32	0	10	1	15	0
35	0	10	1	35	0
