S1	S2	Dist	Spkr1	Spkr2	SpkrD	DdB1	DdB2	DdBD
25	52	200	1	1	1	0	0	0
25	46	200	1	1	1	0	0	0
25	40	200	1	1	1	0	0	0
25	36	200	1	1	1	0	0	0
25	33	200	1	1	1	0	0	0
25	30	200	1	1	1	0	0	0
25	29	200	1	1	1	0	0	0
25	25	200	1	1	1	0	0	0
25	23	200	1	1	1	0	0	0
25	22	200	1	1	1	0	0	0
25	20	200	1	1	1	0	0	0
25	18	200	1	1	1	0	0	0
25	17	200	1	1	1	0	0	0
25	14	200	1	1	1	0	0	0
25	13	200	1	1	1	0	0	0
25	52	200	1	1	13	0	0	0
25	46	200	1	1	13	0	0	0
25	40	200	1	1	13	0	0	0
25	36	200	1	1	13	0	0	0
25	33	200	1	1	13	0	0	0
25	30	200	1	1	13	0	0	0
25	29	200	1	1	13	0	0	0
25	25	200	1	1	13	0	0	0
25	23	200	1	1	13	0	0	0
25	22	200	1	1	13	0	0	0
25	20	200	1	1	13	0	0	0
25	18	200	1	1	13	0	0	0
25	17	200	1	1	13	0	0	0
25	14	200	1	1	13	0	0	0
25	13	200	1	1	13	0	0	0
